Gene	Sample	Active	FC	Annotation	Conservation	Tun
bHd01391.1	Hdujardini	0	352.586333333333	Other	None	35.2586333333333
bHd01406.1	Hdujardini	0.222015666666667	12.2423753709706	Other	Conserved	3.94223666666667
bHd01411.1	Hdujardini	0	120.408	Other	None	12.0408
bHd01449.1	Hdujardini	13.84896	3.04800023323125	Other	Conserved	42.5164333333333
bHd01450.1	Hdujardini	18.0601833333333	28.2494211236854	Other	None	513.014666666667
bHd01452.1	Hdujardini	0.0645326666666667	30.1360013614318	Other	Conserved	4.95835666666667
bHd01459.1	Hdujardini	0.396303	16.1904119056302	Other	Conserved	8.03535
bHd01471.1	Hdujardini	0.104322	28.4892473644541	Other	Conserved	5.82098
bHd01472.1	Hdujardini	0.181853333333333	17.1347391078102	Other	Conserved	4.82948333333333
bHd01474.1	Hdujardini	0.181674433333333	17.9591260974697	Other	Conserved	5.05862666666667
bHd01485.1	Hdujardini	0	72.1767	Other	None	7.21767
bHd01486.1	Hdujardini	12.6826533333333	236.596157918179	CAHS	Conserved	3024.32666666667
bHd01488.1	Hdujardini	0.990710666666667	67.9359818002452	Other	Conserved	74.0985
bHd01489.1	Hdujardini	0.239420333333333	25.2139579145229	Other	Conserved	8.55813
bHd01574.1	Hdujardini	0.0558823	12.5295602301651	Other	Conserved	1.95313666666667
bHd01575.1	Hdujardini	0.0306239333333333	36.8938259910512	Other	Conserved	4.81921666666667
bHd01608.1	Hdujardini	155.904466666667	5.39122811440869	Other	Conserved	841.055666666667
bHd01640.1	Hdujardini	1.05459733333333	46.2823691491868	Other	Conserved	53.4375
bHd01641.1	Hdujardini	7.88056333333333	14.8869524248288	Other	Conserved	118.806266666667
bHd01642.1	Hdujardini	0.1550059	74.2433541080161	Other	Conserved	18.9324933333333
bHd01648.1	Hdujardini	0	101.345333333333	Other	None	10.1345333333333
bHd01664.1	Hdujardini	134.370533333333	3.22230198635835	Other	Conserved	433.304666666667
bHd01668.1	Hdujardini	1.68479666666667	108.254535063751	Other	Conserved	193.212333333333
bHd01670.1	Hdujardini	0.140530666666667	70.0020233040278	Other	None	16.8376333333333
bHd01677.1	Hdujardini	0.208496333333333	381.62283182188	Other	None	117.729244333333
